wavelength_nm,S11a,S12a,S13a,S14a,S21a,S22a,S23a,S24a,S31a,S32a,S33a,S34a,S41a,S42a,S43a,S44a,S11m,S12m,S13m,S14m,S21m,S22m,S23m,S24m,S31m,S32m,S33m,S34m,S41m,S42m,S43m,S44m
1663.3333333333333,4.552812878776601,65.72149966428219,103.91263194468014,105.05932278832111,65.71752863410161,-1.8693897973316271,105.05934371590908,109.34317003877442,103.91151627986544,105.05827079772781,3.9426201499451143,66.4605191729279,105.0581696974828,109.34209195542331,66.45277344536058,-2.1318550003211354,0.004956377885671221,0.00020199459488254244,0.26857565164249875,0.9401172179857211,0.00020101724017862854,0.01153929953658037,0.9402523144962553,0.2691983532896145,0.2677478070761823,0.9371863053902566,0.0050897362226952165,0.00018161201079802745,0.937314504141277,0.26836829819817154,0.00018056828149012413,0.011464752693950378
1660.565723793677,4.937760707419198,68.0050617248675,104.96552743896761,106.13091274640176,68.00625553797059,-1.7287105468589816,106.13093335313158,110.4337011789214,104.96441348418283,106.12987575201512,4.4179382381891905,68.14779935119778,106.12977524494477,110.43262624828915,68.14778338416133,-2.185323052238298,0.006435168375371642,0.0006282753229735306,0.28194483248301044,0.9367246005738915,0.00062586086313284,0.007139263839606295,0.9368559733981189,0.28249560665932216,0.281086052530537,0.9338382782667144,0.00515657119082082,0.0006671564136143321,0.9339653416505197,0.2816386806338317,0.0006647426092563233,0.007272905314186862
1657.8073089701,5.48280204197245,69.11029636937805,106.02060297086226,107.20254469648728,69.11105964566909,-2.3377744734813533,107.20256664854469,111.52257044657537,106.01949276624534,107.20152380291661,3.8577127876428934,69.17870482201508,107.20142507441085,111.52149382376274,69.17922357719753,-2.5845696212533324,0.002921817960060327,0.0008710849614808359,0.29523357671985173,0.9332019181251009,0.0008679851698832597,0.008371574820704821,0.933333607928089,0.2956597132501228,0.2943429105262461,0.9303607777959847,0.0015115466566058985,0.000835354719990838,0.9304905338203866,0.29477528166688816,0.0008328601066927196,0.010212061634371362
1655.0580431177445,3.331922624078612,70.33836006585749,107.07748386452101,108.27418946967389,70.33888149962948,-2.0623384953993646,108.27421619479894,112.61002546307796,107.07638343238088,108.27318678472746,3.128695044145883,70.3712372147701,108.27309241318643,112.60894861849206,70.37233881220938,-2.2354358397890532,0.0034622717572649233,0.0006710042452378653,0.3084468196142694,0.9295383391134178,0.0006690215894885892,0.013426734609392404,0.9296679090064845,0.3087135892707684,0.30752393159776636,0.9267434062057341,0.006456904762706527,0.0005712173730601516,0.9268730852348468,0.3078004811322001,0.000570382512210961,0.014118291770862821
1652.317880794702,3.9258857889258496,72.38184866565763,108.13581748829381,109.34583400248037,72.37921349489127,-1.5793981233249699,109.34586166075792,113.6962061760188,108.13473384301182,109.34485046326628,3.6814263373180185,72.64790002382108,109.34475608193978,113.69513457722067,72.64244984263311,-1.780899687502835,0.008255377798246585,0.0004728660054540655,0.32158380098150474,0.9257243901578339,0.0004719335950356439,0.012919972976653591,0.9258498314662317,0.3216843984611738,0.3206293870370076,0.9229761354972009,0.010025118242746895,0.0003791941706151592,0.9231035862650466,0.32074151156437014,0.0003791437296669913,0.012114208291292344
1649.5867768595042,4.497457981596664,74.12517871954584,109.19531378457718,110.4174819946472,74.12198347411184,-1.4046393101401042,110.41750899206498,114.78117637137885,109.19425244748959,110.41651675017458,4.1724640385114755,74.31320554889044,110.41642083496086,114.7801169059583,74.30902333259698,-1.7614518510927009,0.00845950633253678,0.0008389041539635004,0.3346255529898946,0.9217392092772796,0.0008348435738882558,0.00792118092297733,0.9218652894743604,0.3345829089472718,0.3336420105406031,0.9190393220850375,0.008737248829666621,0.0007858713321465041,0.919168819964378,0.3336106541389837,0.0007817531013735451,0.007020066978783429
1646.8646864686468,4.594391229051838,75.3323535484344,110.25575131710092,111.48913791982008,75.32987444450454,-1.861093886436906,111.48916985927488,115.8649584338742,110.25471603664458,111.48819057220774,4.078644996354448,75.45771578540557,111.48809880788652,115.86391874975035,75.4551551979013,-2.1572609021804383,0.005160786991753594,0.0010036206545231837,0.3475314044222953,0.9175631285963243,0.000997484778510716,0.007990858067334421,0.9176907632558882,0.34739557594881265,0.34652246818715887,0.9149140958139966,0.005558506355007212,0.0009285411771492379,0.9150456586233056,0.3463962166204436,0.0009221260309336505,0.00838432119898397
1644.151565074135,4.098618582560325,76.6395791268975,111.31698743606185,112.56081826293531,76.63978742223493,-1.5988046441930204,112.5608551090815,116.94759738016107,111.3159785562972,112.55988846890112,3.820200844524774,76.74583986984315,112.55980070308921,116.94658281372061,76.74770702082947,-1.7956583082544484,0.006966245365362234,0.000687454388670458,0.360255171528985,0.9131970321216875,0.0006819469750630668,0.011204550695435227,0.9133205106832258,0.36008991605696844,0.3592245471091968,0.9105996486752187,0.008239123538078123,0.0006050536106612146,0.9107268033087562,0.3590665024684909,0.0005992871332802665,0.010477181139159403
1641.4473684210525,4.47877732291144,79.06916266322551,112.37897596312563,113.63256011967164,79.07354589376996,-1.0738205869451638,113.63259488106706,118.0292055965829,112.3779890594538,113.63164578766322,4.2706258232871965,79.2652203325452,113.6315549632643,118.02821587891135,79.27054537484844,-1.2625678304852235,0.010809932772181636,0.00048620766701596145,0.37275875661747565,0.908649279421094,0.0004869911769030021,0.009424092750448667,0.9087689327929656,0.3726187960128442,0.3717095939357597,0.906103256063919,0.010790363117456942,0.00045209529138262144,0.9062259057879075,0.3715747045906526,0.00045435503640501695,0.007283973459957322
1638.7520525451562,5.058520933675199,80.78146496448134,113.4417314268998,114.70439148013831,80.77920669117691,-0.8878545775031152,114.7044245254072,119.10994167783583,113.44076033778974,114.70349050361764,4.860206603764,80.89068455496663,114.70339706340255,119.1089727433071,80.88806133684622,-1.743739569881893,0.010277360573331572,0.0010867576697122048,0.38501577332966974,0.9039263719231296,0.0010869366978409085,0.0036527968782315936,0.9040483632518085,0.38493187780089694,0.38395065511790555,0.9014318828588318,0.008687698932028937,0.0010278723591555835,0.9015560653118954,0.3838705975425734,0.0010288858319545781,0.0017303435641295693
